PyTorch 1.10.2
Torchvision 0.11.3
Torchattacks 3.2.4
Numpy 1.21.5
device cuda
Corruptions ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression', 'speckle_noise', 'gaussian_blur', 'spatter', 'saturate']
Files already downloaded and verified


non-robust model, gaussian_noise, Test Loss 0.009, Test Error 48.668
non-robust model, shot_noise, Test Loss 0.007, Test Error 39.996
non-robust model, impulse_noise, Test Loss 0.007, Test Error 44.180
non-robust model, defocus_blur, Test Loss 0.004, Test Error 28.420
non-robust model, glass_blur, Test Loss 0.010, Test Error 53.540
non-robust model, motion_blur, Test Loss 0.005, Test Error 38.222
non-robust model, zoom_blur, Test Loss 0.004, Test Error 31.296
non-robust model, snow, Test Loss 0.005, Test Error 31.706
non-robust model, frost, Test Loss 0.005, Test Error 32.468
non-robust model, fog, Test Loss 0.003, Test Error 26.852
non-robust model, brightness, Test Loss 0.002, Test Error 18.010
non-robust model, contrast, Test Loss 0.007, Test Error 42.320
non-robust model, elastic_transform, Test Loss 0.003, Test Error 26.996
non-robust model, pixelate, Test Loss 0.007, Test Error 34.550
non-robust model, jpeg_compression, Test Loss 0.004, Test Error 28.004
non-robust model, speckle_noise, Test Loss 0.007, Test Error 38.328
non-robust model, gaussian_blur, Test Loss 0.005, Test Error 34.772
non-robust model, spatter, Test Loss 0.004, Test Error 26.870
non-robust model, saturate, Test Loss 0.003, Test Error 20.722


Trained 1.0-robust model, gaussian_noise, Test Loss 0.003, Test Error 19.412
Trained 1.0-robust model, shot_noise, Test Loss 0.002, Test Error 15.664
Trained 1.0-robust model, impulse_noise, Test Loss 0.005, Test Error 31.200
Trained 1.0-robust model, defocus_blur, Test Loss 0.002, Test Error 15.364
Trained 1.0-robust model, glass_blur, Test Loss 0.003, Test Error 24.458
Trained 1.0-robust model, motion_blur, Test Loss 0.003, Test Error 20.352
Trained 1.0-robust model, zoom_blur, Test Loss 0.002, Test Error 16.490
Trained 1.0-robust model, snow, Test Loss 0.002, Test Error 15.056
Trained 1.0-robust model, frost, Test Loss 0.002, Test Error 14.208
Trained 1.0-robust model, fog, Test Loss 0.004, Test Error 24.410
Trained 1.0-robust model, brightness, Test Loss 0.001, Test Error 9.378
Trained 1.0-robust model, contrast, Test Loss 0.007, Test Error 40.850
Trained 1.0-robust model, elastic_transform, Test Loss 0.002, Test Error 14.810
Trained 1.0-robust model, pixelate, Test Loss 0.002, Test Error 11.576
Trained 1.0-robust model, jpeg_compression, Test Loss 0.001, Test Error 11.064
Trained 1.0-robust model, speckle_noise, Test Loss 0.002, Test Error 16.238
Trained 1.0-robust model, gaussian_blur, Test Loss 0.003, Test Error 19.060
Trained 1.0-robust model, spatter, Test Loss 0.002, Test Error 14.284
Trained 1.0-robust model, saturate, Test Loss 0.002, Test Error 11.956


Trained 2.0-robust model, gaussian_noise, Test Loss 0.002, Test Error 15.914
Trained 2.0-robust model, shot_noise, Test Loss 0.002, Test Error 13.938
Trained 2.0-robust model, impulse_noise, Test Loss 0.004, Test Error 26.700
Trained 2.0-robust model, defocus_blur, Test Loss 0.002, Test Error 14.978
Trained 2.0-robust model, glass_blur, Test Loss 0.003, Test Error 20.468
Trained 2.0-robust model, motion_blur, Test Loss 0.003, Test Error 20.114
Trained 2.0-robust model, zoom_blur, Test Loss 0.002, Test Error 16.268
Trained 2.0-robust model, snow, Test Loss 0.002, Test Error 14.984
Trained 2.0-robust model, frost, Test Loss 0.002, Test Error 15.138
Trained 2.0-robust model, fog, Test Loss 0.004, Test Error 29.436
Trained 2.0-robust model, brightness, Test Loss 0.001, Test Error 10.374
Trained 2.0-robust model, contrast, Test Loss 0.008, Test Error 46.092
Trained 2.0-robust model, elastic_transform, Test Loss 0.002, Test Error 15.136
Trained 2.0-robust model, pixelate, Test Loss 0.001, Test Error 11.122
Trained 2.0-robust model, jpeg_compression, Test Loss 0.001, Test Error 10.874
Trained 2.0-robust model, speckle_noise, Test Loss 0.002, Test Error 14.552
Trained 2.0-robust model, gaussian_blur, Test Loss 0.002, Test Error 18.254
Trained 2.0-robust model, spatter, Test Loss 0.002, Test Error 14.750
Trained 2.0-robust model, saturate, Test Loss 0.002, Test Error 13.410


Trained 3.0-robust model, gaussian_noise, Test Loss 0.002, Test Error 15.408
Trained 3.0-robust model, shot_noise, Test Loss 0.002, Test Error 14.082
Trained 3.0-robust model, impulse_noise, Test Loss 0.003, Test Error 23.916
Trained 3.0-robust model, defocus_blur, Test Loss 0.002, Test Error 15.528
Trained 3.0-robust model, glass_blur, Test Loss 0.002, Test Error 19.598
Trained 3.0-robust model, motion_blur, Test Loss 0.002, Test Error 19.678
