2,none,77.85,79.08,76.69,71.01,77.85,79.08,76.69,71.01,none,81.77,82.67,79.19,71.2,81.77,82.67,79.19,71.2
,conv0,\blue{+1.18},\blue{+0.34},\red{-0.81},\red{-2.11},\red{-0.56},\red{-0.79},\red{-1.44},\red{-2.60},init conv,\red{-0.14},\blue{+0.09},\red{-0.13},\red{-0.30},\red{-0.15},\blue{+0.09},\red{-0.06},\red{-0.30}
,layer1,\blue{+0.58},\blue{+0.23},\red{-0.23},\red{-0.71},\blue{+0.15},\red{-0.01},\red{-0.31},\red{-0.73},layer[0],\blue{+0.08},\red{-0.07},\red{-0.27},\red{-0.28},\blue{+0.08},\red{-0.05},\red{-0.26},\red{-0.22}
,layer2,\blue{+0.16},\blue{+0.23},\blue{+0.02},\red{-0.86},0,\blue{+0.07},\red{-0.16},\red{-0.87},layer[1],\red{-0.05},\blue{+0.09},\red{-0.18},\red{-0.74},\red{-0.03},\blue{+0.07},\red{-0.17},\red{-0.70}
,layer3,\red{-0.01},\blue{+0.42},\blue{+0.03},\red{-0.04},\blue{+0.01},\blue{+0.34},\blue{+0.02},\red{-0.06},layer[2],\red{-0.09},\blue{+0.07},\red{-0.19},\red{-0.42},\red{-0.03},\blue{+0.11},\red{-0.08},\red{-0.30}
,layer4,\blue{+0.07},\blue{+0.06},0,\red{-0.43},\blue{+0.08},\blue{+0.12},\blue{+0.22},\red{-0.22},,,,,,,,,
4,none,56.39,65.46,68.5,65.2,56.39,65.46,68.5,65.2,none,62.12,70.87,71.81,66.2,62.12,70.87,71.81,66.2
,conv0,\blue{+5.01},\blue{+2.15},\red{-0.27},\red{-1.21},\blue{+1.08},\red{-0.19},\red{-1.32},\red{-2.28},init conv,\red{-0.26},\red{-0.04},\red{-0.28},\red{-0.33},\red{-0.39},\red{-0.07},\red{-0.28},\red{-0.39}
,layer1,\blue{+1.18},\blue{+0.77},\red{-0.22},\red{-0.25},\blue{+0.49},\blue{+0.26},\red{-0.38},\red{-0.33},layer[0],\blue{+0.31},\blue{+0.03},\red{-0.03},\red{-0.23},\blue{+0.27},\blue{+0.08},\blue{+0.01},\red{-0.14}
,layer2,\blue{+0.73},\blue{+0.63},\blue{+0.02},\red{-0.42},\blue{+0.14},\blue{+0.39},\red{-0.27},\red{-0.35},layer[1],0,\blue{+0.05},\red{-0.07},\red{-0.38},\blue{+0.02},\blue{+0.03},\blue{+0.01},\red{-0.38}
,layer3,\blue{+0.34},\blue{+0.38},\blue{+0.33},\blue{+0.17},\blue{+0.20},\blue{+0.36},\blue{+0.04},\blue{+0.35},layer[2],\blue{+0.03},\blue{+0.03},\red{-0.04},\red{-0.50},\blue{+0.05},\blue{+0.17},\blue{+0.09},\red{-0.32}
,layer4,\blue{+0.15},\blue{+0.06},\red{-0.25},0,\blue{+0.10},\blue{+0.15},\blue{+0.01},\blue{+0.45},,,,,,,,,
6,none,35.31,50.31,58.6,58.97,35.31,50.31,58.6,58.97,none,39.5,56.25,62.91,60.54,39.5,56.25,62.91,60.54
,conv0,\blue{+5.82},\blue{+4.15},\blue{+1.40},\red{-0.36},\blue{+1.54},\blue{+1.14},\red{-0.38},\red{-1.48},init conv,\red{-0.10},\blue{+0.03},\blue{+0.01},\blue{+0.07},\red{-0.20},\red{-0.06},\blue{+0.04},\blue{+0.18}
,layer1,\blue{+0.91},\blue{+1.24},\blue{+0.25},\blue{+0.09},\blue{+0.12},\blue{+0.60},\blue{+0.10},\red{-0.14},layer[0],\blue{+0.92},\blue{+0.48},\red{-0.03},\red{-0.06},\blue{+0.78},\blue{+0.36},\blue{+0.10},\blue{+0.05}
,layer2,\blue{+0.73},\blue{+0.68},\blue{+0.23},\blue{+0.15},\blue{+0.30},\blue{+0.49},\red{-0.01},\blue{+0.21},layer[1],\blue{+0.25},\blue{+0.17},\blue{+0.05},\red{-0.28},\blue{+0.23},\blue{+0.08},\blue{+0.07},\red{-0.10}
,layer3,\blue{+0.07},\blue{+0.29},\blue{+0.39},\blue{+0.50},\red{-0.12},\blue{+0.37},\blue{+0.30},\blue{+0.71},layer[2],\blue{+0.04},\blue{+0.01},\blue{+0.03},\red{-0.09},\blue{+0.11},\blue{+0.07},\blue{+0.32},\blue{+0.22}
,layer4,\red{-0.02},\blue{+0.08},\red{-0.06},\red{-0.15},\blue{+0.01},\blue{+0.10},\blue{+0.44},\blue{+0.68},,,,,,,,,
8,none,19.37,36.2,48.77,52.53,19.37,36.2,48.77,52.53,none,22.08,41.2,53.72,54.67,22.08,41.2,53.72,54.67
,conv0,\blue{+5.11},\blue{+4.38},\blue{+2.23},\blue{+0.34},\blue{+1.41},\blue{+1.20},\red{-0.03},\red{-1.38},init conv,\red{-0.20},\blue{+0.06},\blue{+0.08},\red{-0.33},\red{-0.20},\red{-0.03},\blue{+0.12},\red{-0.21}
,layer1,\blue{+0.45},\blue{+1.11},\blue{+0.59},\red{-0.08},\blue{+0.01},\blue{+0.62},\blue{+0.51},\red{-0.12},layer[0],\blue{+0.67},\blue{+0.54},\blue{+0.20},\red{-0.25},\blue{+0.48},\blue{+0.49},\blue{+0.41},\blue{+0.02}
,layer2,\blue{+0.51},\blue{+0.73},\blue{+0.66},\blue{+0.21},\blue{+0.24},\blue{+0.40},\blue{+0.56},\blue{+0.37},layer[1],\blue{+0.16},\blue{+0.19},\blue{+0.22},\red{-0.18},\blue{+0.04},\blue{+0.23},\blue{+0.35},\red{-0.10}
,layer3,\blue{+0.05},\blue{+0.22},\blue{+0.79},\blue{+0.33},\blue{+0.01},\blue{+0.12},\blue{+0.81},\blue{+0.53},layer[2],\red{-0.07},\blue{+0.01},\blue{+0.05},\red{-0.05},\blue{+0.06},\blue{+0.13},\blue{+0.37},\blue{+0.32}
,layer4,\blue{+0.01},\red{-0.01},\blue{+0.07},\red{-0.12},\red{-0.07},\blue{+0.09},\blue{+0.79},\blue{+0.89},,,,,,,,,
10,none,9.63,24.41,39.64,45.67,9.63,24.41,39.64,45.67,none,11.15,28.19,44.65,48.12,11.15,28.19,44.65,48.12
,conv0,\blue{+3.52},\blue{+4.17},\blue{+2.35},\blue{+1.26},\blue{+1.04},\blue{+0.76},\red{-0.35},\red{-0.80},init conv,\red{-0.26},\blue{+0.09},\red{-0.07},\blue{+0.22},\red{-0.04},\red{-0.06},\red{-0.01},\blue{+0.22}
,layer1,\blue{+0.38},\blue{+0.97},\blue{+0.67},\blue{+0.20},\blue{+0.05},\blue{+0.60},\blue{+0.57},\blue{+0.06},layer[0],\blue{+0.54},\blue{+0.65},\blue{+0.37},\blue{+0.33},\blue{+0.29},\blue{+0.36},\blue{+0.35},\blue{+0.58}
